Guide ID	gene	CS	FS
YALI1_E07471g_2	E07471g	4.823809167366636	-0.5908943748095108
YALI1_A13227g_6	A13227g	6.443166196092837	7.0271708710557075
YALI1_E19916g_1	E19916g	6.877687022108803	-5.595397177225073
YALI1_E19916g_3	E19916g	5.820871756706666	-0.37707268855233916
YALI1_E19916g_4	E19916g	6.423374743046432	0.14395308006614332
YALI1_E19916g_6	E19916g	6.025801049466157	0.07813314708329304
YALI1_E38561g_1	E38561g	6.072581503950404	-1.0825296822630583
YALI1_E38561g_2	E38561g	5.380129237749267	2.1661869774967477
YALI1_E38561g_3	E38561g	6.317858145080868	0.5758919098287898
YALI1_E38561g_4	E38561g	6.3316497910773775	0.5758919098287898
YALI1_E38561g_5	E38561g	7.8027667625680674	0.5758919098287898
YALI1_E40467g_1	E40467g	5.328046567426091	0.5758919098287898
YALI1_E40467g_2	E40467g	6.828881938142912	0.5758919098287898
YALI1_E40467g_4	E40467g	6.699495216832844	0.5758919098287898
YALI1_F11689g_3	F11689g	6.557637968172054	-2.195476826666103
YALI1_F11689g_6	F11689g	5.511113725023186	0.08191295026178501
YALI1_A02819g_1	A02819g	6.3471440063737745	-0.10469508067363195
YALI1_A02819g_3	A02819g	5.255668693435302	-5.525145361464169
YALI1_B29505g_3	B29505g	7.487454195771973	1.5374634383770518
YALI1_B29505g_4	B29505g	6.2426390562271665	1.8929017832009964
YALI1_B29505g_6	B29505g	7.3083389314538225	0.3233226170731043
YALI1_E35221g_3	E35221g	6.482331291629493	0.8224344591382846
YALI1_E35221g_6	E35221g	6.713278244480123	4.262525230536745
YALI1_C27109g_1	C27109g	6.45877772495548	0.5758919098287898
YALI1_C27109g_6	C27109g	5.319223353205553	-1.5251567027758752
YALI1_C16200g_1	C16200g	5.822245102537147	1.8927625460141744
YALI1_C16200g_2	C16200g	5.498448105865597	0.5758919098287898
YALI1_C16200g_3	C16200g	5.342319328397884	0.5758919098287898
YALI1_C29595g_1	C29595g	5.9139877756767	-2.0681144763397366
YALI1_C29595g_2	C29595g	7.348027788096843	0.5758919098287898
YALI1_C29595g_3	C29595g	6.782473659600389	0.39348963401436066
YALI1_C29595g_5	C29595g	6.763749931415736	-0.27157157974447893
YALI1_C29595g_6	C29595g	5.062931905572267	4.095431467631999
YALI1_F23351g_2	F23351g	7.18801013589722	0.5758919098287898
YALI1_D09910g_3	D09910g	5.810591695797714	-4.9031273609752235
YALI1_B27102g_4	B27102g	7.1551755349868085	1.6975587984549918
YALI1_B27102g_5	B27102g	5.258723444106448	0.5758919098287898
YALI1_B19844g_1	B19844g	6.229360459280165	0.13511179014376465
YALI1_B19844g_2	B19844g	7.0102525993619755	0.9250112008994035
YALI1_B19844g_4	B19844g	6.48864313181356	1.9183362563083477
YALI1_B19844g_6	B19844g	6.376590301023213	-0.12352811611865755
YALI1_D00040g_2	D00040g	-2.6250602398954945	0.8431053682936659
